"","gamma","v","c","alpha","ss_monop_1","ss_monop_2","ss_monop_3","ss_cournot_1","ss_cournot_2","ss_cournot_3","ss_bertrand_1","ss_bertrand_2","ss_bertrand_3"
"215",0.2470049352,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"216",0.3909043422,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"217",0.5608627569,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"218",0.7505281773,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"219",0.9536066307,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"220",1.1643396651,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"221",0.0012605164,7000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"222",0.0187479688,7000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"223",0.0704814858,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"224",0.1646955409,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"225",0.3018949208,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"226",0.4777719738,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"227",0.6854989251,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"228",0.9173122167,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"229",1.1655192153,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"230",1.4230818129,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"231",0.0013751088,7000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"232",0.0204523296,7000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"233",0.0768888936,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"234",0.1796678628,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"235",0.3293399136,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"236",0.5212057896,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"237",0.7478170092,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"238",1.0007042364,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"239",1.2714755076,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"240",1.5524528868,7000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"241",0.001145924,8000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"242",0.017043608,8000,2658.197283344,1270233.91729156,1412,NA,NA,1412,NA,NA,1412,NA,NA
"243",0.064074078,8000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"244",0.149723219,8000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"245",0.274449928,8000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"246",0.434338158,8000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"247",0.623180841,8000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
"248",0.833920197,8000,2658.197283344,1270233.91729156,1412,NA,NA,1413,NA,NA,1413,NA,NA
